daily_volume,avg_trade_size,trade_count,volume_volatility,min_trade_size,max_trade_size,daily_pnl,avg_pnl_per_trade,pnl_volatility,min_pnl,max_pnl,daily_fees,avg_fee_per_trade,daily_tokens_traded,avg_tokens_per_trade,unique_accounts,unique_coins,pnl_ratio,fee_ratio,avg_pnl_per_dollar,volume_efficiency,pnl_per_trade,value,classification,sentiment_normalized,sentiment_change_1d,sentiment_change_7d,sentiment_ma_7d,sentiment_volatility_30d,date
424631.53,9231.1202,46,20629.5952,13.63,92867.54,68.9332,1.4985,39.5031,-142.6896,222.3172,92.6579,2.0143,93.7258,2.0375,1,2,0.00016233650472595606,0.00021820776666754428,0.00016233650472595606,9231.120217391304,1.4985478260869565,63,Greed,0.26,3.0,-13.0,62.0,5.328733648705939,2024-01-18
428428.97,8925.6035,48,16404.8664,12.28,62254.29,-385.4192,-8.0296,51.7985,-243.9973,171.2522,93.0519,1.9386,1754.7376,36.557,2,3,-0.0008996104791977424,0.00021719329070596485,-0.0008996104791977424,8925.603541666665,-8.029566666666666,51,Neutral,0.02,-12.0,-20.0,59.142857142857146,6.155177243309264,2024-01-19
1070090.51,10095.1935,106,19175.8151,9.71,102878.22,-146.5749,-1.3828,38.5543,-261.5679,173.3534,267.5226,2.5238,256540.3567,2420.192,1,16,-0.0001369743000807072,0.0002499999719649885,-0.0001369743000807072,10095.193490566038,-1.3827820754716982,52,Neutral,0.04,1.0,-12.0,57.42857142857143,6.806437115473645,2024-01-20
103129.74,9375.4309,11,18332.4074,10.82,50003.09,266.5811,24.2346,65.5608,-37.3252,203.9268,25.7824,2.3439,44252.2353,4022.9305,1,4,0.0025849097859734944,0.0002499996363803849,0.0025849097859734944,9375.43090909091,24.234645454545454,56,Greed,0.12,4.0,-4.0,56.857142857142854,7.004185940539838,2024-01-21
337878.99,3975.0469,85,12314.2702,0.41,68279.54,1375.641,16.184,80.4161,-214.6629,369.49,67.4783,0.7939,156977.4687,1846.7937,2,10,0.004071401300465551,0.00019971143515874027,0.004071401300465551,3975.0469411764707,16.184011764705883,55,Greed,0.1,-1.0,3.0,57.285714285714285,7.3042264571911995,2024-01-22
414518.93,9211.5318,45,18329.6429,23.3,72758.82,-369.2447,-8.2054,613.9644,-3334.1547,2327.2413,85.7246,1.905,87110.2387,1935.7831,1,8,-0.0008907788387184432,0.0002068050256038964,-0.0008907788387184432,9211.531777777778,-8.205437777777778,50,Neutral,0.0,-5.0,-14.0,55.285714285714285,7.8351550828566765,2024-01-23
965084.59,14192.4204,68,18754.8547,12.02,50029.39,-2808.3538,-41.2993,149.8054,-764.7041,315.4094,227.7711,3.3496,48160.4006,708.2412,1,4,-0.0029099560805342867,0.00023601153722689183,-0.0029099560805342867,14192.42044117647,-41.29932058823529,48,Neutral,-0.04,-2.0,-12.0,53.57142857142857,8.34486558365062,2024-01-24
66566.13,11094.355,6,7666.4265,501.33,20612.78,-3093.6294,-515.6049,356.6379,-959.9033,-23.3044,16.6415,2.7736,756.83,126.1383,1,1,-0.046474519928600334,0.000249999474207157,-0.046474519928600334,11094.355000000001,-515.6048999999999,52,Neutral,0.04,4.0,-11.0,52.0,8.580986734247679,2024-01-25
11773.21,2354.642,5,2131.7389,283.37,4673.0,90.2,18.04,40.3387,0.0,90.2,0.4442,0.0888,95267.0,19053.4,2,2,0.007661455404723602,3.7729695019714236e-05,0.007661455404723602,2354.642,18.04,49,Neutral,-0.02,-3.0,-2.0,51.714285714285715,8.8500275991518,2024-01-26
18109.03,1646.2755,11,1919.6212,100.04,4834.16,-2478.0697,-225.2791,262.6842,-661.5147,-13.6897,-0.3622,-0.0329,1068.0,97.0909,1,1,-0.13684158298838595,-2.0001060243944467e-05,-0.13684158298838595,1646.2754545454545,-225.27906363636365,54,Neutral,0.08,-1.0,-2.0,51.857142857142854,8.923944285415336,2024-01-28
